Name,Year,Teams,Total Posts,Total Comments,Total Scores,Avg Sentiment (TextBlob),Avg Sentiment (Vader),Viewers (Millions),combined_text,clean_text
2020 Stanley Cup Finals Game 1,2020,"Tampa Bay Lightning, Dallas Stars",17,300,1154,0.0433365871601165,0.0588058823529411,2.034,"2020 Stanley Cup Finals Game 1 Tampa Bay Lightning, Dallas Stars",stanley cup final game tampa bay lightning dallas star
2020 Stanley Cup Finals Game 2,2020,"Tampa Bay Lightning, Dallas Stars",5,204,624,0.0920778533635676,0.15936,2.115,"2020 Stanley Cup Finals Game 2 Tampa Bay Lightning, Dallas Stars",stanley cup final game tampa bay lightning dallas star
2020 Stanley Cup Finals Game 3,2020,"Tampa Bay Lightning, Dallas Stars",4,194,621,-0.0093239795918367,-0.1055749999999999,1.137,"2020 Stanley Cup Finals Game 3 Tampa Bay Lightning, Dallas Stars",stanley cup final game tampa bay lightning dallas star
2020 Stanley Cup Finals Game 4,2020,"Tampa Bay Lightning, Dallas Stars",7,50,519,0.0873866213151927,-0.1165285714285714,1.145,"2020 Stanley Cup Finals Game 4 Tampa Bay Lightning, Dallas Stars",stanley cup final game tampa bay lightning dallas star
2020 Stanley Cup Finals Game 5,2020,"Tampa Bay Lightning, Dallas Stars",12,121,634,0.1183402939652939,0.178925,2.216,"2020 Stanley Cup Finals Game 5 Tampa Bay Lightning, Dallas Stars",stanley cup final game tampa bay lightning dallas star
2020 Stanley Cup Finals Game 6,2020,"Tampa Bay Lightning, Dallas Stars",9,103,123,0.1295481409023075,0.4859111111111112,2.713,"2020 Stanley Cup Finals Game 6 Tampa Bay Lightning, Dallas Stars",stanley cup final game tampa bay lightning dallas star
2021 Stanley Cup Finals Game 1,2021,"Tampa Bay Lightning, Montreal Canadiens",10,218,1522,0.2830169552669552,0.4130600000000001,2.405,"2021 Stanley Cup Finals Game 1 Tampa Bay Lightning, Montreal Canadiens",stanley cup final game tampa bay lightning montreal canadiens
2021 Stanley Cup Finals Game 2,2021,"Tampa Bay Lightning, Montreal Canadiens",13,114,1057,0.080519203019203,0.2500076923076923,1.569,"2021 Stanley Cup Finals Game 2 Tampa Bay Lightning, Montreal Canadiens",stanley cup final game tampa bay lightning montreal canadiens
2021 Stanley Cup Finals Game 3,2021,"Tampa Bay Lightning, Montreal Canadiens",6,196,807,0.1522002923976608,0.3067333333333333,1.649,"2021 Stanley Cup Finals Game 3 Tampa Bay Lightning, Montreal Canadiens",stanley cup final game tampa bay lightning montreal canadiens
2021 Stanley Cup Finals Game 4,2021,"Tampa Bay Lightning, Montreal Canadiens",10,342,1829,0.2247767279017279,0.47992,2.378,"2021 Stanley Cup Finals Game 4 Tampa Bay Lightning, Montreal Canadiens",stanley cup final game tampa bay lightning montreal canadiens
