name,brandName,comparisonPriceUnit,urlSlugText,productConcreteSku,usaSnapEligible,formattedPrice,preFormattedUnitContent,categoryName,categoryKey,mainCategoryName,mainCategoryKey,text,cluster
"Organic Apple Pear Spinach Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-pear-spinach-baby-food-puree,800,True,$0.95,,Baby Items,5,Baby Items,5,"Organic Apple Pear Spinach Baby Food Puree, 4 oz Little Journey oz little-journey-apple-pear-spinach-baby-food-puree $0.95 Baby Items Baby Items",3
"Baby Wipes Bundle, 216 count",Little Journey,ct,little-journey-baby-wipes-bundle-216-count,1241,False,$5.19,,Baby Items,5,Baby Items,5,"Baby Wipes Bundle, 216 count Little Journey ct little-journey-baby-wipes-bundle-216-count $5.19 Baby Items Baby Items",3
"Organics Apple Banana Strawberry Yogurt Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-banana-strawberry-yogurt-baby-food-puree-4-oz,1287,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Apple Banana Strawberry Yogurt Baby Food Puree, 4 oz Little Journey oz little-journey-apple-banana-strawberry-yogurt-baby-food-puree-4-oz $0.95 Baby Items Baby Items",3
"Organics Apple Carrot Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-carrot-baby-food-puree-4-oz,2034,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Apple Carrot Baby Food Puree, 4 oz Little Journey oz little-journey-apple-carrot-baby-food-puree-4-oz $0.95 Baby Items Baby Items",3
"Strawberry Yogurt Bites, 1 oz",Little Journey,oz,little-journey-strawberry-yogurt-bites-1-oz,2133,True,$2.45,,Baby Items,5,Baby Items,5,"Strawberry Yogurt Bites, 1 oz Little Journey oz little-journey-strawberry-yogurt-bites-1-oz $2.45 Baby Items Baby Items",3
"Mixed Berry Yogurt Bites, 1 oz",Little Journey,oz,little-journey-mixed-berry-yogurt-bites-1-oz,2200,True,$2.45,,Baby Items,5,Baby Items,5,"Mixed Berry Yogurt Bites, 1 oz Little Journey oz little-journey-mixed-berry-yogurt-bites-1-oz $2.45 Baby Items Baby Items",3
"Organics Apple Blueberry Banana Baby Food Puree, 4 oz",Little Journey,oz,little-journey-apple-blueberry-banana-baby-food-puree-4-oz,2762,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Apple Blueberry Banana Baby Food Puree, 4 oz Little Journey oz little-journey-apple-blueberry-banana-baby-food-puree-4-oz $0.95 Baby Items Baby Items",3
"Organics Apple Banana Blueberry Oat Flax, 4 oz",Little Journey,oz,little-journey-organics-apple-banana-blueberry-oat-flax-4-oz,2889,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Apple Banana Blueberry Oat Flax, 4 oz Little Journey oz little-journey-organics-apple-banana-blueberry-oat-flax-4-oz $0.95 Baby Items Baby Items",3
"Organics Pear Mixed Berry Beet Flax, 4 oz",Little Journey,oz,little-journey-organics-pear-mixed-berry-beet-flax-4-oz,2890,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Pear Mixed Berry Beet Flax, 4 oz Little Journey oz little-journey-organics-pear-mixed-berry-beet-flax-4-oz $0.95 Baby Items Baby Items",3
"Organics Mango Apple Banana Avocado Kale, 4 oz",Little Journey,oz,little-journey-organics-mango-apple-banana-avocado-kale-4-oz,2891,True,$0.95,,Baby Items,5,Baby Items,5,"Organics Mango Apple Banana Avocado Kale, 4 oz Little Journey oz little-journey-organics-mango-apple-banana-avocado-kale-4-oz $0.95 Baby Items Baby Items",3
