date,country_code,country,price,combined_text,clean_text,cluster,SVD_1,SVD_2
1962-12-31,IT,Italy,1.6387,1962-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1962-12-31,JP,Japan,11.6346,1962-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1962-12-31,NZ,New Zealand,1.833,1962-12-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1963-03-31,IT,Italy,1.7331,1963-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1963-03-31,JP,Japan,12.0192,1963-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1963-03-31,NZ,New Zealand,1.833,1963-03-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1963-06-30,IT,Italy,1.7392,1963-06-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1963-06-30,JP,Japan,12.4017,1963-06-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1963-06-30,NZ,New Zealand,1.8472,1963-06-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1963-09-30,IT,Italy,1.7318,1963-09-30 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1963-09-30,JP,Japan,12.7885,1963-09-30 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1963-09-30,NZ,New Zealand,1.8757,1963-09-30 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1963-12-31,IT,Italy,1.8311,1963-12-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1963-12-31,JP,Japan,13.2212,1963-12-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1963-12-31,NZ,New Zealand,1.9041,1963-12-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
1964-03-31,IT,Italy,1.8966,1964-03-31 IT Italy,italy,9,0.9996861019842163,-0.0007957102390870798
1964-03-31,JP,Japan,13.6539,1964-03-31 JP Japan,japan,6,-0.002474834500312175,-0.20943926807581723
1964-03-31,NZ,New Zealand,1.9183,1964-03-31 NZ New Zealand,new zealand,0,-0.0007025996005492353,-0.0010044623280934905
