word,level,pos,definition_url,voice_url,clean_text,cluster
all kinds of…,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/kind_1#kind_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_k/all_kinds_of_1_us_1.ogg,kind,1
all over the world,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/world#world_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_o/all_over_the_world_1_us_1.ogg,world,1
all over…,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/over_1#over_sng_21,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_o/all_over_1_us_1.ogg,,1
all sorts of…,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/sort_1#sort_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_s/all_sorts_of_1_us_1.ogg,sort,1
all the more,c1,,https://www.oxfordlearnersdictionaries.com/definition/english/all_3#all_sng_28,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_t/all_the_more_1_us_1.ogg,,1
all the time,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_17,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_t/all_the_time_1_us_1.ogg,time,1
all the way,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/way_1#way_sng_15,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/all/all_t/all_the_way_1_us_1.ogg,way,1
along with sb/sth,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/along_2#along_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alo/along/along_with_sb_1_us_1.ogg,along sbsth,4
alternative to sth,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/alternative_1#alternative_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/alt/alter/alternative_to_sth_1_us_1.ogg,alternative sth,3
and so on,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/forth_1#so_sng_11,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/and/and_s/and_so_on_1_us_1.ogg,,1
anything else,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/anything#anything_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/any/anyth/anything_else_1_us_2.ogg,anything else,1
apart from,b1,,https://www.oxfordlearnersdictionaries.com/definition/english/apart-from#apartfrom_e,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/apa/apart/apart_from_1_us_2.ogg,apart,1
appeal to sb,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2#appeal_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/appea/appeal_to_sb_1_us_1.ogg,appeal sb,1
apply for sth,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/apply#apply_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/apply/apply_for_sth_1_us_1.ogg,apply sth,3
apply to sb/sth,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/apply#apply_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/app/apply/apply_to_sb_1_us_1.ogg,apply sbsth,4
around the world,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/world#world_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aro/aroun/around_the_world_1_us_1.ogg,around world,1
arrive at…,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/arrive#arrive_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/arriv/arrive_at_1_us_1.ogg,arrive,1
arrive in…,a1,,https://www.oxfordlearnersdictionaries.com/definition/english/arrive#arrive_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/arr/arriv/arrive_in_1_us_1.ogg,arrive,1
art gallery,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/art-gallery#artgallery_e,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/art/art_g/art_gallery_1_us_1.ogg,art gallery,1
as a result,a2,,https://www.oxfordlearnersdictionaries.com/definition/english/result_1#result_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_a_/as_a_result_1_us_1.ogg,result,1
as a whole,b2,,https://www.oxfordlearnersdictionaries.com/definition/english/whole_2#whole_sng_10,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/as_/as_a_/as_a_whole_1_us_1.ogg,whole,1
