Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter,clean_text,Cluster
Citrix Systems Ireland,,,,Technology,,"€34,300,000",,150,East Point Business Park  Block P3 Fairview  Dublin 3,http://www.top1000.ie/citrix-systems-ireland,"53.356489,-6.224002",http://www.top1000.ie/images/logo/citrix-systems-ireland,,,http://www.citrix.com/,@citrix,,3
Cityjet,,,,Transport,"CityJet is headquartered in Dublin, and has offices in Antwerp and London, with staff residing across Europe, in Belgium, The Netherlands, Luxembourg, France, The United Kingdom and Ireland. A subsidiary of one of the largest airlines in the world, the Air France KLM Group, CityJet bought Belgian airline VLM in 2007. With a combined fleet of 38 aircraft comprising Avro RJ85 and Fokker 50 aircraft, the airline operates a total of more than 480 weekly flights all over Europe throughout its entire network.","€260,200,000","-€208,900,000",561,"Swords Business Campus Balheary Road  Swords County, Dublin, Ireland",http://www.top1000.ie/cityjet,"53.464937,-6.216846",http://www.top1000.ie/images/logo/cityjet,,,http://www.cityjet.com/,@cityjet,cityjet headquartered dublin office antwerp london staff residing across europe belgium netherlands luxembourg france united kingdom ireland subsidiary one largest airline world air france klm group cityjet bought belgian airline vlm combined fleet aircraft comprising avro fokker aircraft airline operates total weekly flight europe throughout entire network,3
Clancy Construction,,,,Construction,"Clancy Construction has been in construction and development since the 1940s. Originally a traditional family business, the company has grown over the years. It has offices in Dublin, Cork and Tipperary.","€18,500,000","-€2,000,000",69,Ballyluskey  Drangan  Thurles  Co Tipperary,http://www.top1000.ie/clancy-construction,"52.680522,-7.814502",,,,http://www.clancyconstruction.ie/,,clancy construction construction development since originally traditional family business company grown year office dublin cork tipperary,3
Clarity Computer (Distribution),,,,Technology,"Founded in 1990, Clarity Computer (Distribution) provides supply chain management services to global IT vendors and resellers. The company employs nearly 30 people in Ireland.","€88,500,000","€1,100,000",27,Clarity House  Belgard Rd  Tallaght  Dublin 24  Dublin,http://www.top1000.ie/clarity-computer-distribution,"53.291551,-6.36846",,,,,,founded clarity computer distribution provides supply chain management service global vendor resellers company employ nearly people ireland,2
Clearstream Technologies,,,,Technology,"ClearStream Technologies develops and manufactures medical devices used by interventional cardiologists, radiologists, and vascular surgeons in angioplasty procedures. Based in Wexford, it was taken over by US medical technology company CR Bard in 2011.","€20,600,000","€3,300,000",247,Moyne Upper  Enniscorthy  Co Wexford,http://www.top1000.ie/clearstream-technologies,"52.520789,-6.577871",,,,http://www.clearstream.ie/,,clearstream technology develops manufacture medical device used interventional cardiologist radiologist vascular surgeon angioplasty procedure based wexford taken medical technology company bard,0
CLEARWAY HOLDINGS,,,,Resources,"Clearwater Holdings is a metal recycling and waste management company. Clearway offers its services throughout Ireland with processing facilities at Belfast and Portadown and Dublin, Cork and Athlone in the Republic of Ireland where it operates as Hammond Lane.",,,,41 Dobbin Road  Portadown  Co Armagh  Northern Ireland  BT62 4EY,http://www.top1000.ie/clearway-holdings,"54.392158,-6.514578",,,,http://www.clearway-group.com/,,clearwater holding metal recycling waste management company clearway offer service throughout ireland processing facility belfast portadown dublin cork athlone republic ireland operates hammond lane,2
Clerys,,,,Retailing,"Clerys Plc operates the iconic department store on Dublin's O'Connell street selling fashion, cosmetics and homewares. In September 2012 it was acquired by a US company, Boston-based private equity group Gordon Brothers, through a subsidiary called OCS Investment Holdings.","€25,000,000",,224,18/27 Lower O'Connell Street  Dublin 1,http://www.top1000.ie/clerys,"53.347766,-6.258885",http://www.top1000.ie/images/logo/clerys,,,http://www.clerys.ie/,@Clerys_Dublin,clerys plc operates iconic department store dublin oconnell street selling fashion cosmetic homewares september acquired company bostonbased private equity group gordon brother subsidiary called ocs investment holding,3
CLG Developments,,,,Construction,CLG Developments specialises in building and civil engineering contracting together with the installation and maintenance of gas pipelines.,"€1,800,000","-€300,000",7,Red Cow Business Park  Robin Hood Road  Clondalkin  Dublin 22,http://www.top1000.ie/clg-developments,"53.313647,-6.435548",,,,http://www.clg.ie/,,clg development specialises building civil engineering contracting together installation maintenance gas pipeline,3
Clonmel Enterprises,,,,Construction,"Clonmel Enterprises is a civil engineering company. Established in 1979, the company has constructed major projects such as road and infrastructural projects, railway station platform extensions and level crossing replacements, water supply and sewerage schemes, holiday homes and commercial business parks. The company is based in Nass, Co. Kildare.","€10,600,000","€500,000",44,Unit R  M7 Business Park  Newhall  Naas  Co Kildare  Ireland,http://www.top1000.ie/clonmel-enterprises,"53.229147,-6.659668",,,,http://www.clonmelent.com/,,clonmel enterprise civil engineering company established company constructed major project road infrastructural project railway station platform extension level crossing replacement water supply sewerage scheme holiday home commercial business park company based nass kildare,3
Clonmel Healthcare,,,,Health,"Clonmel Healthcare Ltd. is a Stada owned pharmaceutical manufacturing and marketing company employing over 270 staff across two locations - the manufacturing plant in Clonmel and the Sales and Marketing office in Dublin. It consists of three distinct businesses; Clonmel Ethical Products, ClonMedica Consumer Division and The Special Products Division.","€54,400,000","€36,800,000",50,Waterford Road  Clonmel  County Tipperary,http://www.top1000.ie/clonmel-healthcare,"52.360764,-7.656328",,,,http://www.clonmel-health.ie/,,clonmel healthcare ltd stada owned pharmaceutical manufacturing marketing company employing staff across two location manufacturing plant clonmel sale marketing office dublin consists three distinct business clonmel ethical product clonmedica consumer division special product division,0
