cattle-id,price,age,color,breed,weight,clean_text,cluster,cluster_name
BLF1341,78000,2.5 years,Red,Local,188 kg,blf,0,blf / blfs / blfh
BLF903,117000,2.5 years,Red,Red Chittagong,282 kg,blf,0,blf / blfs / blfh
BLF1178,109000,2.5 years,Red,Sahiwal,263 kg,blf,0,blf / blfs / blfh
BLF1086,119000,2.5 years,Red,Local,289 kg,blf,0,blf / blfs / blfh
BLF888,123000,3 years,Red,Sindhi,300 kg,blf,0,blf / blfs / blfh
BLF1276,104000,2.5 years,Red,Local,252 kg,blf,0,blf / blfs / blfh
BLF854,135000,2.5 years,Non Red,Local,331 kg,blf,0,blf / blfs / blfh
BLF1092,98000,2.5 years,Red,Local,236 kg,blf,0,blf / blfs / blfh
BLF970,99000,2.5 years,Non Red,Mir Kadim,215 kg,blf,0,blf / blfs / blfh
BLF1058,89000,2.5 years,Red,Local,215 kg,blf,0,blf / blfs / blfh
BLF1171,101000,2.5 years,Non Red,Local,250 kg,blf,0,blf / blfs / blfh
BLF1266,91000,2.5 years,Non Red,Local,225 kg,blf,0,blf / blfs / blfh
BLF1223,114000,2.5 years,Red,Sindhi,276 kg,blf,0,blf / blfs / blfh
BLF1208,87000,2.5 years,Red,Local,210 kg,blf,0,blf / blfs / blfh
BLF910,90000,2.5 years,Non Red,Local,223 kg,blf,0,blf / blfs / blfh
BLF1109,91000,2.5 years,Red,Local,220 kg,blf,0,blf / blfs / blfh
BLF1133,97000,2.5 years,Red,Local,235 kg,blf,0,blf / blfs / blfh
BLF1302,80000,2.5 years,Red,Red Chittagong,191 kg,blf,0,blf / blfs / blfh
BLFH775,190000,3 years,Cross Non Red,Holstein Friesian Cross,475 kg,blfh,3,blfh / blfs / blfb
BLF901,89000,2.5 years,Non Red,Local,220 kg,blf,0,blf / blfs / blfh
BLF966,83000,3 years,Non Red,Local,203 kg,blf,0,blf / blfs / blfh
BLF1111,78000,2.5 years,Red,Local,185 kg,blf,0,blf / blfs / blfh
BLF1252,99000,2.5 years,Red,Local,240 kg,blf,0,blf / blfs / blfh
BLF1107,109000,3 years,Red,Local,262 kg,blf,0,blf / blfs / blfh
BLF1354,98000,2.5 years,Red,Red Chittagong,235 kg,blf,0,blf / blfs / blfh
BLF1095,132000,3 years,Red,Local,318 kg,blf,0,blf / blfs / blfh
BLF1328,105000,2.5 years,Red,Sahiwal,255 kg,blf,0,blf / blfs / blfh
BLF1230,109000,2.5 years,Non Red,Local,270 kg,blf,0,blf / blfs / blfh
BLF1051,96000,2.5 years,Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF1038,88000,2.5 years,Non Red,Local,216 kg,blf,0,blf / blfs / blfh
BLF909,130000,2.5 years,Red,Local,319 kg,blf,0,blf / blfs / blfh
BLF1175,77000,2.5 years,Red,Local,186 kg,blf,0,blf / blfs / blfh
BLFS231,174000,2.5 years,Non Red,Holstein Friesian Cross,438 kg,blfs,1,blfs / blfh / blfb
BLF1114,99000,2.5 years,Red,Local,240 kg,blf,0,blf / blfs / blfh
BLF912,110000,2.5 years,Non Red,Local,272 kg,blf,0,blf / blfs / blfh
BLFS82,150000,4 years,White,Mir Kadim,326 kg,blfs,1,blfs / blfh / blfb
BLF1173,86000,3 years,Red,Red Chittagong,205 kg,blf,0,blf / blfs / blfh
BLF1007,100000,2.5 years,Non Red,Local,243 kg,blf,0,blf / blfs / blfh
BLF1317,98000,2.5 years,Red,Local,235 kg,blf,0,blf / blfs / blfh
BLF1358,90000,2.5 years,Red,Local,217 kg,blf,0,blf / blfs / blfh
BLF1207,117000,2.5 years,Red,Sahiwal,282 kg,blf,0,blf / blfs / blfh
BLF1126,105000,2.5 years,Red,Local,252 kg,blf,0,blf / blfs / blfh
BLF1147,86000,2.5 years,Non Red,Local,212 kg,blf,0,blf / blfs / blfh
BLF1212,91000,2.5 years,Non Red,Local,224 kg,blf,0,blf / blfs / blfh
BLF1053,109000,2.5 years,Red,Local,263 kg,blf,0,blf / blfs / blfh
BLF1253,106000,2.5 years,Red,Local,256 kg,blf,0,blf / blfs / blfh
BLF1257,99000,2.5 years,Red,Local,237 kg,blf,0,blf / blfs / blfh
BLF990,91000,2.5 years,Red,Local,218 kg,blf,0,blf / blfs / blfh
BLF856,131000,2.5 years,Red,Red Chittagong,312 kg,blf,0,blf / blfs / blfh
BLF1323,130000,2.5 years,Red,Red Chittagong,312 kg,blf,0,blf / blfs / blfh
BLFB380,324000,3.5 years,Non Red,Holstein Friesian Cross,720 kg,blfb,2,blfb / blfs / blfh
BLF889,173000,3 years,Red,Sahiwal,418 kg,blf,0,blf / blfs / blfh
BLF1222,99000,2.5 years,Red,Sahiwal,240 kg,blf,0,blf / blfs / blfh
BLF1172,123000,3 years,Red,Red Chittagong,292 kg,blf,0,blf / blfs / blfh
BLF1085,90000,2.5 years,Red,Local,216 kg,blf,0,blf / blfs / blfh
BLF1244,103000,2.5 years,Non Red,Local,254 kg,blf,0,blf / blfs / blfh
BLF1159,109000,3 years,Red,Local,262 kg,blf,0,blf / blfs / blfh
BLF892,195000,3 years,Red,Sahiwal,450 kg,blf,0,blf / blfs / blfh
BLF1267,90000,2.5 years,Red,Local,218 kg,blf,0,blf / blfs / blfh
BLF985,130000,2.5 years,Red,Sahiwal,310 kg,blf,0,blf / blfs / blfh
BLF957,80000,2.5 years,Non Red,Local,195 kg,blf,0,blf / blfs / blfh
BLF1024,97000,3 years,Red,Local,233 kg,blf,0,blf / blfs / blfh
BLF1123,109000,2.5 years,Red,Red Chittagong,260 kg,blf,0,blf / blfs / blfh
BLF1201,100000,2.5 years,Non Red,Local,248 kg,blf,0,blf / blfs / blfh
BLF1239,110000,3 years,Red,Local,266 kg,blf,0,blf / blfs / blfh
BLF864,108000,2 years,Non Red,Mir Kadim,234 kg,blf,0,blf / blfs / blfh
BLF1046,101000,2.5 years,Red,Sindhi,244 kg,blf,0,blf / blfs / blfh
BLF1322,118000,2.5 years,Red,Sindhi,285 kg,blf,0,blf / blfs / blfh
BLF988,118000,2.5 years,Non Red,Local,290 kg,blf,0,blf / blfs / blfh
BLF1143,111000,2.5 years,Red,Sahiwal,269 kg,blf,0,blf / blfs / blfh
BLF900,81000,2.5 years,Non Red,Local,200 kg,blf,0,blf / blfs / blfh
BLF929,105000,2.5 years,Red,Sahiwal,255 kg,blf,0,blf / blfs / blfh
BLF1240,107000,2.5 years,Non Red,Local,265 kg,blf,0,blf / blfs / blfh
BLF1122,113000,3 years,Red,Local,272 kg,blf,0,blf / blfs / blfh
BLF874,117000,2.5 years,Red,Red Chittagong,280 kg,blf,0,blf / blfs / blfh
BLF1001,162000,2.5 years,Red,Sindhi,385 kg,blf,0,blf / blfs / blfh
BLF980,86000,2.5 years,Red,Sindhi,212 kg,blf,0,blf / blfs / blfh
BLF1129,140000,3 years,Cross Red,Holstein Friesian Cross,354 kg,blf,0,blf / blfs / blfh
BLF896,128000,4 years,Red,Sahiwal,313 kg,blf,0,blf / blfs / blfh
BLFS204,153000,3 years,Non Red,Holstein Friesian Cross,385 kg,blfs,1,blfs / blfh / blfb
BLF1138,115000,3 years,Red,Sindhi,278 kg,blf,0,blf / blfs / blfh
BLF1218,89000,2.5 years,Red,Local,216 kg,blf,0,blf / blfs / blfh
BLF1074,95000,3 years,Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF881,109000,2.5 years,Non Red,Local,270 kg,blf,0,blf / blfs / blfh
BLF977,130000,2.5 years,Non Red,Red Chittagong,312 kg,blf,0,blf / blfs / blfh
BLF1151,120000,2.5 years,Non Red,Local,297 kg,blf,0,blf / blfs / blfh
BLF893,101000,2.5 years,Red,Red Chittagong,241 kg,blf,0,blf / blfs / blfh
BLF859,130000,2.5 years,Red,Local,322 kg,blf,0,blf / blfs / blfh
BLF1270,117000,3 years,Red,Sahiwal,283 kg,blf,0,blf / blfs / blfh
BLF1023,125000,2.5 years,Red,Local,300 kg,blf,0,blf / blfs / blfh
BLF911,90000,2.5 years,Non Red,Local,222 kg,blf,0,blf / blfs / blfh
BLF1334,79000,2.5 years,Red,Local,189 kg,blf,0,blf / blfs / blfh
BLFB377,125000,3 years,Red,Local,305 kg,blfb,2,blfb / blfs / blfh
BLF974,94000,2.5 years,Non Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF1319,91000,2.5 years,Non Red,Local,224 kg,blf,0,blf / blfs / blfh
BLF1273,97000,2.5 years,Red,Local,234 kg,blf,0,blf / blfs / blfh
BLF884,156000,2.5 years,Red,Local,380 kg,blf,0,blf / blfs / blfh
BLF931,108000,3 years,Red,Red Chittagong,258 kg,blf,0,blf / blfs / blfh
BLF1246,82000,2.5 years,Red,Local,195 kg,blf,0,blf / blfs / blfh
BLF967,87000,3 years,Non Red,Local,215 kg,blf,0,blf / blfs / blfh
BLF951,108000,2.5 years,Red,Local,259 kg,blf,0,blf / blfs / blfh
BLF1069,105000,2.5 years,Red,Sindhi,253 kg,blf,0,blf / blfs / blfh
BLF1216,85000,3 years,Red,Local,205 kg,blf,0,blf / blfs / blfh
BLF1004,110000,2.5 years,Red,Local,263 kg,blf,0,blf / blfs / blfh
BLF1009,89000,2.5 years,Non Red,Local,216 kg,blf,0,blf / blfs / blfh
BLF1072,107000,3 years,Red,Sahiwal,258 kg,blf,0,blf / blfs / blfh
BLF1282,89000,3 years,Red,Local,216 kg,blf,0,blf / blfs / blfh
BLF916,106000,2.5 years,Non Red,Local,262 kg,blf,0,blf / blfs / blfh
BLF899,151000,2.5 years,Red,Local,373 kg,blf,0,blf / blfs / blfh
BLF879,130000,2.5 years,Red,Sahiwal,321 kg,blf,0,blf / blfs / blfh
BLFS239,167000,3 years,Non Red,Holstein Friesian Cross,420 kg,blfs,1,blfs / blfh / blfb
BLF1186,116000,2.5 years,Red,Local,280 kg,blf,0,blf / blfs / blfh
BLF1056,102000,2.5 years,Red,Red Chittagong,244 kg,blf,0,blf / blfs / blfh
BLF1248,87000,2.5 years,Red,Local,211 kg,blf,0,blf / blfs / blfh
BLF1296,95000,3 years,Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF1189,107000,2.5 years,Red,Sahiwal,257 kg,blf,0,blf / blfs / blfh
BLF1339,134000,2.5 years,Red,Local,325 kg,blf,0,blf / blfs / blfh
BLF1040,88000,2.5 years,Non Red,Local,215 kg,blf,0,blf / blfs / blfh
BLF904,137000,2.5 years,Non Red,Local,337 kg,blf,0,blf / blfs / blfh
BLF989,93000,2.5 years,Non Red,Local,229 kg,blf,0,blf / blfs / blfh
BLF1224,83000,2.5 years,Red,Sahiwal,201 kg,blf,0,blf / blfs / blfh
BLF964,123000,2.5 years,Red,Local,297 kg,blf,0,blf / blfs / blfh
BLF1335,76000,2.5 years,Red,Local,182 kg,blf,0,blf / blfs / blfh
BLF1353,75000,2.5 years,Red,Local,181 kg,blf,0,blf / blfs / blfh
BLF1059,135000,2.5 years,Red,Local,327 kg,blf,0,blf / blfs / blfh
BLF1198,90000,2.5 years,Non Red,Local,223 kg,blf,0,blf / blfs / blfh
BLF1206,91000,2.5 years,Red,Local,224 kg,blf,0,blf / blfs / blfh
BLFB376,124000,2.5 years,Red,Local,300 kg,blfb,2,blfb / blfs / blfh
BLF947,87000,3 years,Non Red,Local,215 kg,blf,0,blf / blfs / blfh
BLF1034,101000,3 years,Red,Local,242 kg,blf,0,blf / blfs / blfh
