cattle-id,price,age,color,breed,weight,clean_text,cluster,cluster_name
BLF1298,84000,3 years,Red,Local,200 kg,blf,0,blf / blfs / blfh
BLF1191,119000,2.5 years,Red,Sahiwal,288 kg,blf,0,blf / blfs / blfh
BLF1061,108000,2.5 years,Red,Local,260 kg,blf,0,blf / blfs / blfh
BLF1071,106000,2.5 years,Red,Local,256 kg,blf,0,blf / blfs / blfh
BLF858,128000,3 years,Red,Local,307 kg,blf,0,blf / blfs / blfh
BLF1235,97000,3 years,Non Red,Local,240 kg,blf,0,blf / blfs / blfh
BLF894,115000,2.5 years,Non Red,Local,281 kg,blf,0,blf / blfs / blfh
BLF1166,104000,2.5 years,Non Red,Local,256 kg,blf,0,blf / blfs / blfh
BLF1052,89000,3 years,Red,Sindhi,215 kg,blf,0,blf / blfs / blfh
BLFS206,172000,3 years,Non Red,Holstein Friesian Cross,432 kg,blfs,1,blfs / blfh / blfb
BLF1047,105000,2.5 years,Red,Sindhi,256 kg,blf,0,blf / blfs / blfh
BLF992,110000,3 years,Non Red,Local,270 kg,blf,0,blf / blfs / blfh
BLF1005,86000,2.5 years,Non Red,Local,205 kg,blf,0,blf / blfs / blfh
BLF865,173000,2.5 years,Red,Sahiwal,415 kg,blf,0,blf / blfs / blfh
BLF1113,145000,2.5 years,Red,Sahiwal,358 kg,blf,0,blf / blfs / blfh
BLFB289,125000,3 years,Red,Local,300 kg,blfb,2,blfb / blfs / blfh
BLF1169,97000,3 years,Red,Sahiwal,235 kg,blf,0,blf / blfs / blfh
BLF1116,112000,2.5 years,Red,Sindhi,272 kg,blf,0,blf / blfs / blfh
BLF1167,103000,2.5 years,Red,Sahiwal,250 kg,blf,0,blf / blfs / blfh
BLF1168,113000,2.5 years,Red,Local,273 kg,blf,0,blf / blfs / blfh
BLF1057,108000,2.5 years,Red,Local,262 kg,blf,0,blf / blfs / blfh
BLF1110,107000,2.5 years,Red,Local,260 kg,blf,0,blf / blfs / blfh
BLF1130,117000,2.5 years,Red,Local,281 kg,blf,0,blf / blfs / blfh
