player,tournament id,Player_initial_last,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,tournament name,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,date,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,place,Cluster
Aaron Baddeley,401155419,A. Baddeley,16,46.0,3,41.6,15.2,The American Express,2020,,0,0,49.0,56.8,0,0,"La Quinta CC - La Quinta, CA",2020-01-18,CUT,-2,0.47,0.54,0.23,-0.59,0.18,0.65,-,0
Aaron Baddeley,401155420,A. Baddeley,16,58.0,0,50.4,18.0,Farmers Insurance Open,2020,64.0,0,0,58.0,68.4,0,1,"Torrey Pines - La Jolla, CA",2020-01-25,T64,E,0.3,1.18,-0.62,-0.44,0.13,0.42,64,0
Aaron Baddeley,401155421,A. Baddeley,16,67.0,3,61.6,20.4,Waste Management Phoenix Open,2020,40.0,2,1,72.0,83.0,0,1,"TPC Scottsdale - Scottsdale, AZ",2020-02-01,T40,-6,-0.37,1.67,-0.49,-0.09,1.09,0.72,40,0
Aaron Baddeley,401155422,A. Baddeley,16,63.5,0,57.5,18.6,AT&T Pebble Beach Pro-Am,2020,25.0,4,3,67.5,79.1,0,1,"Spyglass Hill - Pebble Beach, CA",2020-02-08,T25,-4,-0.13,1.08,0.9,-1.07,0.91,0.78,25,0
Aaron Baddeley,401155423,A. Baddeley,16,23.5,0,20.5,0.6,The Genesis Invitational,2020,,0,0,23.5,21.1,0,0,"Riviera - Pacific Palisades, CA",2020-02-15,CUT,2,0.69,-0.03,-1.17,-0.2,-1.4,-0.71,-,0
Aaron Baddeley,401155460,A. Baddeley,16,29.5,0,27.2,5.0,Rocket Mortgage Classic,2020,,0,0,29.5,32.2,0,0,"Detroit Golf Club - Detroit, MI",2020-07-05,CUT,-1,-1.18,-0.07,0.55,-0.71,-0.23,-1.41,-,0
Aaron Baddeley,401155466,A. Baddeley,16,24.0,0,20.1,10.0,Travelers Championship,2020,,0,0,24.0,30.1,0,0,"TPC River Highlands - Cromwell, CT",2020-06-28,CUT,3,0.88,-0.74,-0.88,-2.05,-3.67,-2.79,-,0
Aaron Baddeley,401155472,A. Baddeley,16,82.0,0,78.4,31.0,3M Open,2020,23.0,4,3,86.0,112.4,0,1,"TPC Twin Cities - Blaine, MN",2020-07-26,T23,-12,1.71,0.0,0.54,-0.69,-0.16,1.55,23,0
Aaron Baddeley,401219498,A. Baddeley,16,33.0,0,31.3,5.2,RBC Heritage,2020,,0,0,33.0,36.5,0,0,"Harbour Town - Hilton Head, SC",2020-06-21,CUT,-3,-0.82,1.26,-0.41,-0.02,0.84,0.02,-,0
Aaron Baddeley,401223849,A. Baddeley,16,28.0,0,21.3,15.2,Workday Charity Open,2020,,0,0,28.0,36.5,0,0,"Muirfield Village - Dublin, OH",2020-07-12,CUT,3,1.41,-0.28,-1.57,-0.87,-2.72,-1.31,-,0
Aaron Wise,2501,A. Wise,10577,11.5,0,4.7,0.0,U.S. Open,2016,,0,0,11.5,4.7,1,0,"Oakmont - Oakmont, PA",2016-06-19,,,,,,,,,-,0
Aaron Wise,2510,A. Wise,10577,81.5,3,77.7,25.3,John Deere Classic,2016,16.0,5,4,89.5,107.0,0,1,"TPC Deere Run - Silvis, IL",2016-08-14,T16,-12,0.07,-0.22,0.96,0.93,1.67,1.74,16,0
Aaron Wise,2690,A. Wise,10577,44.0,3,43.2,21.0,CareerBuilder Challenge,2017,34.0,2,1,49.0,65.2,0,0,"PGA West - La Quinta, CA",2017-01-22,,,,,,,,,34,0
Aaron Wise,2693,A. Wise,10577,53.0,0,42.8,16.8,Farmers Insurance Open,2017,71.0,0,0,53.0,59.6,0,1,"Torrey Pines - La Jolla, CA",2017-01-29,T71,4,-0.74,-0.41,-0.51,0.47,-0.46,-1.2,71,0
Aaron Wise,2711,A. Wise,10577,29.0,0,22.8,15.6,Sanderson Farms Championship,2017,,0,0,29.0,38.4,0,0,"Country Club of Jackson - Jackson, MS",2016-10-30,CUT,2,-0.89,-0.89,-0.34,0.08,-1.15,-2.04,-,0
Aaron Wise,2716,A. Wise,10577,95.5,0,87.9,40.0,Shriners Hospital for Children Open,2017,10.0,7,6,102.5,133.9,0,1,"TPC Summerlin - Las Vegas, NV",2016-11-06,T10,-14,0.45,0.18,1.56,-0.12,1.63,2.08,10,0
Aaron Wise,2724,A. Wise,10577,71.0,8,63.9,5.9,OHL Classic at Mayakoba,2017,55.0,0,0,79.0,69.8,0,1,"El Camaleon - Playa del Carmen, Mexico",2016-11-13,,,,,,,,,55,0
Aaron Wise,2725,A. Wise,10577,18.0,0,15.7,0.0,Safeway Open,2017,,0,0,18.0,15.7,0,0,"Silverado - Napa, CA",2016-10-13,CUT,3,-0.07,-0.4,-2.58,0.64,-2.34,-2.41,-,0
Aaron Wise,3743,A. Wise,10577,50.0,3,49.9,11.0,CareerBuilder Challenge,2018,17.0,5,4,58.0,64.9,0,0,"PGA West - La Quinta, CA",2018-01-21,,,,,,,,,17,0
Aaron Wise,3745,A. Wise,10577,71.0,6,67.7,16.3,AT&T Pebble Beach Pro-Am,2018,15.0,6,5,83.0,89.0,0,1,"Pebble Beach - Pebble Beach, CA",2018-02-11,T15,-9,2.06,-0.1,1.03,-0.26,0.67,2.73,15,0
Aaron Wise,3746,A. Wise,10577,30.0,3,26.8,10.2,Farmers Insurance Open,2018,,0,0,33.0,37.0,0,0,"Torrey Pines - La Jolla, CA",2018-01-30,CUT,E,-0.55,0.01,0.74,-0.54,0.21,-0.33,-,0
Aaron Wise,3748,A. Wise,10577,25.0,0,19.1,4.6,Genesis Open,2018,,0,0,25.0,23.7,0,0,"Riviera - Pacific Palisades, CA",2018-02-18,CUT,3,-0.42,-0.34,-0.43,0.86,0.09,-0.33,-,0
Aaron Wise,3749,A. Wise,10577,52.0,0,41.2,25.2,The Honda Classic,2018,33.0,2,1,54.0,67.4,0,1,"PGA National - Palm Beach Gardens, FL",2018-02-25,T33,5,-0.94,-0.01,1.36,0.39,1.73,0.79,33,0
Aaron Wise,3750,A. Wise,10577,74.0,0,62.6,30.2,Arnold Palmer Invitational Pres. by Mastercard,2018,41.0,1,0,75.0,92.8,0,1,"Bay Hill - Orlando, FL",2018-03-18,T41,-2,-0.31,-0.36,0.53,0.63,0.8,0.49,41,0
Aaron Wise,3756,A. Wise,10577,75.5,3,71.0,16.0,Houston Open,2018,32.0,2,1,80.5,88.0,0,1,"Redstone Golf Club, Houston, TX",2018-04-01,T32,-9,0.04,0.89,-0.86,0.82,0.85,0.9,32,0
