Date,Close,High,Low,Open,Volume
11/4/2014,30.43966675,30.5309355,29.95952114,30.00317102,10420000
11/5/2014,30.41981697,30.70949001,30.39203703,30.55870151,7403400
11/6/2014,30.73329926,30.77298315,30.41981829,30.54282988,6167200
11/7/2014,30.86822701,30.98726964,30.63807367,30.80870417,8249000
11/10/2014,30.93994331,31.03955678,30.74868412,30.93595792,6555400
11/11/2014,30.97181129,31.159082,30.78055216,31.01165606,5198200
11/12/2014,31.01963234,31.08338642,30.78852837,30.84431471,5312200
11/13/2014,31.03556824,31.27065758,30.8443121,31.1551056,6842200
11/14/2014,31.12721252,31.19893433,30.97181578,31.11127401,6039200
11/17/2014,31.01166725,31.2666775,30.93994543,31.05549742,5899000
11/18/2014,30.9080677,31.079403,30.80845423,30.93197396,5755600
11/19/2014,31.00766945,31.11126827,30.84031961,30.85625812,5231200
11/20/2014,31.15909386,31.33441455,30.93994604,30.94393143,6287000
11/21/2014,31.78067207,31.84442309,31.38620067,31.52964426,14027800
11/24/2014,32.08349609,32.20303344,31.76074951,31.8364567,9426200
11/25/2014,31.95998001,32.24288185,31.89622898,32.09943824,8118400
11/26/2014,31.75677109,31.99982818,31.63723675,31.92412402,6196800
11/28/2014,32.35843277,32.52976803,32.03967155,32.04763929,6766600
12/1/2014,32.21499252,32.47398813,32.12334984,32.27476121,8627400
12/2/2014,32.02373505,32.21499118,31.91216542,32.15124015,7656400
12/3/2014,32.06359863,32.17516528,31.9042164,32.04367471,11201400
12/4/2014,32.39827728,32.79274873,32.03170052,32.11537545,13999000
12/5/2014,33.29877853,33.43823673,32.84454152,32.87243316,14788200
12/8/2014,33.39043808,33.54981721,33.11151853,33.54981721,11770600
12/9/2014,33.08362579,33.18722466,32.75290834,33.09956431,8725600
12/10/2014,32.93619537,33.48606057,32.89236521,33.03182344,10096400
12/11/2014,33.11948013,33.47808611,32.93619175,33.03181981,10046000
12/12/2014,33.17127609,33.45816329,32.90032741,32.96806382,9164200
12/15/2014,32.23093033,32.87244124,32.15124078,32.78079552,16287000
12/16/2014,31.52964783,32.3106169,31.52168009,32.07154523,13981800
12/17/2014,32.05163193,32.11139758,31.25472415,31.52965526,10161600
12/18/2014,31.8882618,32.52977275,31.58145366,32.49391336,17583000
12/19/2014,31.65316582,31.99185089,31.64121269,31.95598847,17444200
12/22/2014,32.09148026,32.09546565,31.78466902,31.81654607,7583800
12/23/2014,32.44609451,32.69313697,32.32655715,32.47398616,8147800
12/24/2014,32.38234329,32.61743265,32.3464839,32.46203589,2601800
12/26/2014,32.60546875,32.83258725,32.42616275,32.44608665,4550400
12/29/2014,32.82462692,32.89236639,32.47398863,32.53774271,4796600
12/30/2014,32.58952713,33.02384019,32.58952713,32.70109368,5253400
12/31/2014,32.69313431,33.20315467,32.6732104,32.74891759,7625400
1/2/2015,32.45008087,33.06370013,32.23093005,32.72501195,6886000
1/5/2015,31.8284874,32.14326625,31.67309066,31.93208623,11623800
1/6/2015,31.56949234,32.03169712,31.30252601,32.01177321,7664400
1/7/2015,32.34648514,32.36640905,31.63723774,31.77669598,9732600
1/8/2015,32.86846161,33.19121134,32.68118779,32.80471057,13170600
1/9/2015,31.79264832,32.47798975,31.52568484,32.27079195,27556800
1/12/2015,31.96794128,32.20701289,31.80457381,31.99184753,10021400
1/13/2015,32.22296143,32.72899644,31.92810341,32.4660185,11040800
1/14/2015,32.04365158,32.18709518,31.720905,31.89622563,9295000
1/15/2015,31.70895195,32.23491081,31.55355522,32.11537346,8126600
1/16/2015,32.11935043,32.18708683,31.47783978,31.58143859,9015600
1/20/2015,32.36242676,32.46204023,32.00780302,32.19507685,10738400
1/21/2015,32.39031219,32.52578504,32.08748643,32.29468413,10844200
1/22/2015,32.96807098,33.00791576,32.23093196,32.41820576,23913000
1/23/2015,35.15159988,35.34285603,34.4423525,34.46625876,38107200
1/26/2015,35.11175919,35.26317058,34.82885728,35.09980302,14098600
1/27/2015,35.19940567,35.54606156,34.84478205,34.97627252,10994200
1/28/2015,34.89260483,35.6974803,34.86072779,35.3428566,11963200
1/29/2015,35.48231125,35.5819247,34.8925983,35.06791894,12475800
1/30/2015,34.87666321,35.43848457,34.82087992,35.29504094,10070400
2/2/2015,35.0599556,35.09980038,34.21124994,34.93643587,13638800
2/3/2015,35.38787842,35.38787842,34.76402256,35.18392742,9252400
2/4/2015,35.47184753,35.76378179,35.18791315,35.19191308,11496600
2/5/2015,35.84777069,35.89975766,35.47585594,35.47585594,7598600
2/6/2015,35.59183884,35.8637766,35.4638683,35.79179299,7835400
2/9/2015,35.51983643,35.67580034,35.2478988,35.39586589,6911600
2/10/2015,36.46364212,36.54362257,35.72381231,35.73980901,12469600
2/11/2015,36.30766678,36.70757499,36.27567339,36.45563391,6467000
2/12/2015,36.72356796,36.76755811,36.02772555,36.42763372,7197600
2/13/2015,36.62358093,36.78754165,36.35564326,36.78754165,6109600
2/17/2015,36.80355835,36.88753872,36.49563032,36.69958134,6387000
2/18/2015,37.1914711,37.32344157,36.79156281,36.9475268,6542000
2/19/2015,37.25944138,37.50338559,37.19545766,37.25144456,6109200
2/20/2015,37.39542007,37.45940381,37.17946926,37.37542344,6461400
2/23/2015,37.42340469,37.56337193,37.22345062,37.53137855,5854600
2/24/2015,37.37141037,37.58736111,37.25543971,37.29542991,6337800
2/25/2015,37.69534302,37.92329054,37.29143493,37.31143156,8119600
2/26/2015,37.81132126,37.91929513,37.62336392,37.71134421,6816400
2/27/2015,37.38742447,37.91130639,37.29944416,37.90730646,8658400
3/2/2015,37.68335724,37.81132776,37.32343919,37.32343919,7947000
3/3/2015,37.59136963,37.67534998,37.27144186,37.63135984,7578400
3/4/2015,37.21546173,37.66736002,36.79555989,37.51539293,7774600
