Name,Teams,Start Datetime,Average Viewers (Millions)
2023 NBA Finals Game 5,"Denver Nuggets, Miami Heat",2023-06-12T20:30:00-04:00,13.08
2022 NBA Finals Game 1,"Golden State Warriors, Boston Celtics",2022-06-02T21:00:00-04:00,11.9
2022 NBA Finals Game 2,"Golden State Warriors, Boston Celtics",2022-06-05T20:00:00-04:00,11.91
2022 NBA Finals Game 3,"Golden State Warriors, Boston Celtics",2022-06-08T21:00:00-04:00,11.52
2022 NBA Finals Game 4,"Golden State Warriors, Boston Celtics",2022-06-10T21:00:00-04:00,12.06
2022 NBA Finals Game 5,"Golden State Warriors, Boston Celtics",2022-06-13T21:00:00-04:00,13.03
2022 NBA Finals Game 6,"Golden State Warriors, Boston Celtics",2022-06-16T21:00:00-04:00,13.99
2021 NBA Finals Game 1,"Milwaukee Bucks, Phoenix Suns ",2021-07-06T21:00:00-04:00,8.56
2021 NBA Finals Game 2,"Milwaukee Bucks, Phoenix Suns ",2021-07-08T21:00:00-04:00,9.38
2021 NBA Finals Game 3,"Milwaukee Bucks, Phoenix Suns ",2021-07-11T20:00:00-04:00,9.02
2021 NBA Finals Game 4,"Milwaukee Bucks, Phoenix Suns ",2021-07-14T21:00:00-04:00,10.25
2021 NBA Finals Game 5,"Milwaukee Bucks, Phoenix Suns ",2021-07-17T21:00:00-04:00,9.55
2021 NBA Finals Game 6,"Milwaukee Bucks, Phoenix Suns ",2021-07-20T21:00:00-04:00,12.52
2020 NBA Finals Game 1,"Los Angeles Lakers, Miami Heat",2020-09-30T21:00:00-04:00,7.41
2020 NBA Finals Game 2,"Los Angeles Lakers, Miami Heat",2020-09-30T21:00:00-04:00,6.61
2020 NBA Finals Game 3,"Los Angeles Lakers, Miami Heat",2020-10-04T19:30:00-04:00,5.94
2020 NBA Finals Game 4,"Los Angeles Lakers, Miami Heat",2020-10-06T21:00:00-04:00,7.54
2020 NBA Finals Game 5,"Los Angeles Lakers, Miami Heat",2020-10-09T21:00:00-04:00,889.0
2020 NBA Finals Game 6,"Los Angeles Lakers, Miami Heat",2020-10-11T19:30:00-04:00,8.29
2019 NBA Finals Game 1,"Toronto Raptors, Golden State Warriors",2019-05-30T21:00:00-04:00,13.51
2019 NBA Finals Game 2,"Toronto Raptors, Golden State Warriors",2019-06-02T20:00:00-04:00,14.05
2019 NBA Finals Game 3,"Toronto Raptors, Golden State Warriors",2019-06-05T21:00:00-04:00,13.44
2019 NBA Finals Game 4,"Toronto Raptors, Golden State Warriors",2019-06-07T21:00:00-04:00,13.16
2019 NBA Finals Game 5,"Toronto Raptors, Golden State Warriors",2019-06-10T21:00:00-04:00,18.34
2019 NBA Finals Game 6,"Toronto Raptors, Golden State Warriors",2019-06-13T21:00:00-04:00,18.34
2018 NBA Finals Game 1,"Golden State Warriors, Cleveland Cavaliers",2019-05-31T21:00:00-04:00,17.67
2018 NBA Finals Game 2,"Golden State Warriors, Cleveland Cavaliers",2019-06-03T20:00:00-04:00,18.47
2018 NBA Finals Game 3,"Golden State Warriors, Cleveland Cavaliers",2019-06-06T21:00:00-04:00,17.85
2018 NBA Finals Game 4,"Golden State Warriors, Cleveland Cavaliers",2019-06-08T21:00:00-04:00,16.24
2017 NBA Finals Game 1,"Golden State Warriors, Cleveland Cavaliers",2017-06-01T21:00:00-04:00,18.7
2017 NBA Finals Game 2,"Golden State Warriors, Cleveland Cavaliers",2017-06-04T20:00:00-04:00,19.69
2017 NBA Finals Game 3,"Golden State Warriors, Cleveland Cavaliers",2017-06-07T21:00:00-04:00,20.05
2017 NBA Finals Game 4,"Golden State Warriors, Cleveland Cavaliers",2017-06-09T21:00:00-04:00,19.01
2017 NBA Finals Game 5,"Golden State Warriors, Cleveland Cavaliers",2017-06-12T21:00:00-04:00,24.47
2016 NBA Finals Game 1,"Golden State Warriors, Cleveland Cavaliers",2016-06-02T21:00:00-04:00,19.2
2016 NBA Finals Game 2,"Golden State Warriors, Cleveland Cavaliers",2016-06-05T20:00:00-04:00,17.49
2016 NBA Finals Game 3,"Golden State Warriors, Cleveland Cavaliers",2016-06-08T21:00:00-04:00,16.47
2016 NBA Finals Game 4,"Golden State Warriors, Cleveland Cavaliers",2016-06-10T21:00:00-04:00,16.57
2016 NBA Finals Game 5,"Golden State Warriors, Cleveland Cavaliers",2016-06-13T21:00:00-04:00,20.53
2016 NBA Finals Game 6,"Golden State Warriors, Cleveland Cavaliers",2016-06-16T21:00:00-04:00,20.7
2016 NBA Finals Game 7,"Golden State Warriors, Cleveland Cavaliers",2016-06-19T20:00:00-04:00,31.02
2015 NBA Finals Game 1,"Golden State Warriors, Cleveland Cavaliers",2015-06-04T21:00:00-04:00,17.77
2015 NBA Finals Game 2,"Golden State Warriors, Cleveland Cavaliers",2015-06-07T20:00:00-05:00,19.17
2015 NBA Finals Game 3,"Golden State Warriors, Cleveland Cavaliers",2015-06-09T21:00:00-05:00,18.77
2015 NBA Finals Game 4,"Golden State Warriors, Cleveland Cavaliers",2015-06-11T21:00:00-05:00,19.84
2015 NBA Finals Game 5,"Golden State Warriors, Cleveland Cavaliers",2015-06-14T20:00:00-05:00,20.86
2015 NBA Finals Game 6,"Golden State Warriors, Cleveland Cavaliers",2015-06-16T21:00:00-05:00,23.25
2014 NBA Finals Game 1,"San Antonio Spurs, Miami Heat",2014-06-05T21:00:00-04:00,14.85
2014 NBA Finals Game 2,"San Antonio Spurs, Miami Heat",2014-06-08T20:00:00-04:00,15.13
2014 NBA Finals Game 3,"San Antonio Spurs, Miami Heat",2014-06-10T21:00:00-04:00,14.78
2014 NBA Finals Game 4,"San Antonio Spurs, Miami Heat",2014-06-12T21:00:00-04:00,14.96
2014 NBA Finals Game 5,"San Antonio Spurs, Miami Heat",2014-06-15T20:00:00-04:00,18.0
2013 NBA Finals Game 1,"San Antonio Spurs, Miami Heat",2013-06-06T21:00:00-04:00,14.24
2013 NBA Finals Game 2,"San Antonio Spurs, Miami Heat",2013-06-09T20:00:00-04:00,14.57
2013 NBA Finals Game 3,"San Antonio Spurs, Miami Heat",2013-06-11T21:00:00-04:00,14.05
2013 NBA Finals Game 4,"San Antonio Spurs, Miami Heat",2013-06-13T21:00:00-04:00,16.23
2013 NBA Finals Game 5,"San Antonio Spurs, Miami Heat",2013-06-16T20:00:00-04:00,16.27
2013 NBA Finals Game 6,"San Antonio Spurs, Miami Heat",2013-06-18T21:00:00-04:00,20.64
2013 NBA Finals Game 7,"San Antonio Spurs, Miami Heat",2013-06-20T21:00:00-04:00,26.32
2012 NBA Finals Game 1,"Miami Heat, Oklahoma City Thunder",2012-06-12T21:00:00-04:00,16.2
2012 NBA Finals Game 2,"Miami Heat, Oklahoma City Thunder",2012-06-14T21:00:00-04:00,16.67
2012 NBA Finals Game 3,"Miami Heat, Oklahoma City Thunder",2012-06-17T20:00:00-04:00,15.55
2012 NBA Finals Game 4,"Miami Heat, Oklahoma City Thunder",2012-06-19T21:00:00-04:00,17.5
2012 NBA Finals Game 5,"Miami Heat, Oklahoma City Thunder",2012-06-21T21:00:00-04:00,18.46
MLS Cup 2023,"Columbus Crew, Los Angeles FC",2023-12-09T16:00:00-05:00,0.9
MLS Cup 2022,"Los Angeles FC, Philadelphia Union",2022-11-05T13:00:00-07:00,2.2
MLS Cup 2021,"Portland Timbers, New York City FC",2021-12-11T12:00:00-08:00,1.5
MLS Cup 2020,"Columbus Crew SC, Seattle Sounders FC",2020-12-12T20:30:00-05:00,1.7
MLS Cup 2019,"Seattle Sounders FC, Toronto FC",2019-11-10T12:00:00-08:00,1.3
MLS Cup 2018,"Atlanta United FC, Portland Timbers",2018-12-08T20:00:00-05:00,1.8
MLS Cup 2017,"Toronto FC, Seattle Sounders FC",2017-12-09T16:00:00-05:00,1.1
MLS Cup 2016,"Toronto FC, Seattle Sounders FC",2016-12-10T20:00:00-05:00,2.0
MLS Cup 2015,"Columbus Crew SC, Portland Timbers",2015-12-06T16:00:00-05:00,1.2
MLS Cup 2014,"LA Galaxy, New England Revolution",2014-12-07T12:26:00-08:00,1.9
MLS Cup 2013,"Sporting Kansas City, Real Salt Lake",2013-12-07T15:00:00-06:00,1.0
MLS Cup 2012,"Los Angeles Galaxy, Houston Dynamo",2012-12-01T13:30:00-08:00,0.8
2012 Stanley Cup Finals Game 1,"Los Angeles Kings, New Jersey Devils",2012-05-30T20:00:00-04:00,2.979
2012 Stanley Cup Finals Game 2,"Los Angeles Kings, New Jersey Devils",2012-06-02T20:00:00-04:00,2.9
2012 Stanley Cup Finals Game 3,"Los Angeles Kings, New Jersey Devils",2012-06-04T20:00:00-04:00,2.9
2012 Stanley Cup Finals Game 4,"Los Angeles Kings, New Jersey Devils",2012-06-06T20:00:00-04:00,1.743
2012 Stanley Cup Finals Game 5,"Los Angeles Kings, New Jersey Devils",2012-06-09T20:00:00-04:00,2.069
2012 Stanley Cup Finals Game 6,"Los Angeles Kings, New Jersey Devils",2012-06-11T20:00:00-04:00,3.331
2013 Stanley Cup Finals Game 1,"Chicago Blackhawks, Boston Bruins",2013-06-12T20:00:00-04:00,5.762
2013 Stanley Cup Finals Game 2,"Chicago Blackhawks, Boston Bruins",2013-06-15T20:00:00-04:00,6.358
2013 Stanley Cup Finals Game 3,"Chicago Blackhawks, Boston Bruins",2013-06-17T20:00:00-04:00,3.964
2013 Stanley Cup Finals Game 4,"Chicago Blackhawks, Boston Bruins",2013-06-19T20:00:00-04:00,4.001
2013 Stanley Cup Finals Game 5,"Chicago Blackhawks, Boston Bruins",2013-06-22T20:00:00-04:00,6.459
2013 Stanley Cup Finals Game 6,"Chicago Blackhawks, Boston Bruins",2013-06-24T20:00:00-04:00,8.16
2014 Stanley Cup Finals Game 1,"Los Angeles Kings, New York Rangers",2014-06-04T20:00:00-04:00,4.697
2014 Stanley Cup Finals Game 2,"Los Angeles Kings, New York Rangers",2014-06-07T20:00:00-04:00,4.777
2014 Stanley Cup Finals Game 3,"Los Angeles Kings, New York Rangers",2014-06-09T20:00:00-04:00,6.413
2014 Stanley Cup Finals Game 4,"Los Angeles Kings, New York Rangers",2014-06-11T20:00:00-04:00,2.893
2014 Stanley Cup Finals Game 5,"Los Angeles Kings, New York Rangers",2014-06-13T20:00:00-04:00,6.021
2015 Stanley Cup Finals Game 1,"Chicago Blackhawks, Tampa Bay Lightning",2015-06-03T20:00:00-04:00,5.53
2015 Stanley Cup Finals Game 2,"Chicago Blackhawks, Tampa Bay Lightning",2015-06-06T20:00:00-04:00,5.547
2015 Stanley Cup Finals Game 3,"Chicago Blackhawks, Tampa Bay Lightning",2015-06-08T20:00:00-04:00,6.549
2015 Stanley Cup Finals Game 4,"Chicago Blackhawks, Tampa Bay Lightning",2015-06-10T20:00:00-04:00,3.896
2015 Stanley Cup Finals Game 5,"Chicago Blackhawks, Tampa Bay Lightning",2015-06-13T20:00:00-04:00,5.267
2015 Stanley Cup Finals Game 6,"Chicago Blackhawks, Tampa Bay Lightning",2015-06-15T20:00:00-04:00,8.005
2016 Stanley Cup Finals Game 1,"Pittsburgh Penguins, San Jose Sharks",2016-05-30T20:00:00-04:00,4.001
2016 Stanley Cup Finals Game 2,"Pittsburgh Penguins, San Jose Sharks",2016-06-01T20:00:00-04:00,4.081
2016 Stanley Cup Finals Game 3,"Pittsburgh Penguins, San Jose Sharks",2016-06-04T20:00:00-04:00,2.507
2016 Stanley Cup Finals Game 4,"Pittsburgh Penguins, San Jose Sharks",2016-06-06T20:00:00-04:00,2.789
2016 Stanley Cup Finals Game 5,"Pittsburgh Penguins, San Jose Sharks",2016-06-09T20:00:00-04:00,4.234
2016 Stanley Cup Finals Game 6,"Pittsburgh Penguins, San Jose Sharks",2016-06-12T20:00:00-04:00,5.009
2017 Stanley Cup Finals Game 1,"Pittsburgh Penguins, Nashville Predators",2017-05-29T20:00:00-04:00,4.668
2017 Stanley Cup Finals Game 2,"Pittsburgh Penguins, Nashville Predators",2017-05-31T20:00:00-04:00,4.854
2017 Stanley Cup Finals Game 3,"Pittsburgh Penguins, Nashville Predators",2017-06-03T20:00:00-04:00,3.18
2017 Stanley Cup Finals Game 4,"Pittsburgh Penguins, Nashville Predators",2017-06-05T20:00:00-04:00,2.953
2017 Stanley Cup Finals Game 5,"Pittsburgh Penguins, Nashville Predators",2017-06-08T20:00:00-04:00,5.654
2017 Stanley Cup Finals Game 6,"Pittsburgh Penguins, Nashville Predators",2017-06-11T20:00:00-04:00,6.985
2018 Stanley Cup Finals Game 1,"Washington Capitals, Vegas Golden Knights",2018-05-28T20:00:00-04:00,5.195
2018 Stanley Cup Finals Game 2,"Washington Capitals, Vegas Golden Knights",2018-05-30T20:00:00-04:00,3.648
2018 Stanley Cup Finals Game 3,"Washington Capitals, Vegas Golden Knights",2018-06-02T20:00:00-04:00,3.439
2018 Stanley Cup Finals Game 4,"Washington Capitals, Vegas Golden Knights",2018-06-04T20:00:00-04:00,5.061
2018 Stanley Cup Finals Game 5,"Washington Capitals, Vegas Golden Knights",2018-06-07T20:00:00-04:00,6.588
2019 Stanley Cup Finals Game 1,"St. Louis Blues, Boston Bruins",2019-05-27T20:00:00-04:00,5.333
2019 Stanley Cup Finals Game 2,"St. Louis Blues, Boston Bruins",2019-05-29T20:00:00-04:00,5.251
2019 Stanley Cup Finals Game 3,"St. Louis Blues, Boston Bruins",2019-06-01T20:00:00-04:00,3.386
2019 Stanley Cup Finals Game 4,"St. Louis Blues, Boston Bruins",2019-06-03T20:00:00-04:00,2.93
2019 Stanley Cup Finals Game 5,"St. Louis Blues, Boston Bruins",2019-06-06T20:00:00-04:00,5.128
2019 Stanley Cup Finals Game 6,"St. Louis Blues, Boston Bruins",2019-06-09T20:00:00-04:00,5.443
2019 Stanley Cup Finals Game 7,"St. Louis Blues, Boston Bruins",2019-06-12T20:00:00-04:00,8.723
2020 Stanley Cup Finals Game 1,"Tampa Bay Lightning, Dallas Stars",2020-09-20T20:00:00-04:00,2.034
2020 Stanley Cup Finals Game 2,"Tampa Bay Lightning, Dallas Stars",2020-09-22T20:00:00-04:00,2.115
2020 Stanley Cup Finals Game 3,"Tampa Bay Lightning, Dallas Stars",2020-09-23T20:00:00-04:00,1.137
2020 Stanley Cup Finals Game 4,"Tampa Bay Lightning, Dallas Stars",2020-09-25T20:00:00-04:00,1.145
2020 Stanley Cup Finals Game 5,"Tampa Bay Lightning, Dallas Stars",2020-09-26T20:00:00-04:00,2.216
2020 Stanley Cup Finals Game 6,"Tampa Bay Lightning, Dallas Stars",2020-09-28T20:00:00-04:00,2.713
