symbol,name,sector,price,price/earnings,dividend_yield,earnings/share,52_week_low,52_week_high,market_cap,ebitda,price/sales,price/book,sec_filings,combined_text,cluster
AVGO,Broadcom,Semiconductors,357.895,45.64987,0.0073,7.84,289.96,495.0,1702714146816.0,52058001408.0,19.10929,17.110245,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO,AVGO Broadcom Semiconductors http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO,0
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,172.88,18.027111,0.0252,9.59,133.83,255.74,19995006976.0,1808999936.0,2.6742733,6.9382353,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BR,BR Broadridge Financial Solutions Data Processing & Outsourced Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BR,1
BRO,Brown & Brown,Insurance Brokers,71.42,22.81789,0.0092,3.13,53.81,96.55,23897872384.0,2892000000.0,3.5866535,1.8730657,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRO,BRO Brown & Brown Insurance Brokers http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRO,1
BF.B,Brown–Forman,Distillers & Vintners,140.86,23.8595715,0.0187,5.68,104.475,169.3,40598407168.0,3452700032.0,3.19939425,3.1623663,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B,BF.B Brown–Forman Distillers & Vintners http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B,1
BLDR,Builders FirstSource,Building Products,65.79,71.51087,0.0187,0.92,62.31,149.35,7078770688.0,1022512000.0,0.48992428,1.7673607,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLDR,BLDR Builders FirstSource Building Products http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLDR,1
BG,Bunge Global,Agricultural Products & Services,118.71,25.584053,0.0243,4.64,76.01,134.87,22806460416.0,3126000128.0,0.24838498,1.4295176,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BG,BG Bunge Global Agricultural Products & Services http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BG,1
BXP,"BXP, Inc.",Office REITs,67.69,36.392475,0.0414,1.86,49.72,79.33,12243593216.0,1617154048.0,3.8378522,2.094628,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP,"BXP BXP, Inc. Office REITs http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP",1
CHRW,C.H. Robinson,Air Freight & Logistics,147.64,28.175573,0.0171,5.24,123.64,210.33,17251919872.0,932641024.0,1.015027,10.623112,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW,CHRW C.H. Robinson Air Freight & Logistics http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW,1
CDNS,Cadence Design Systems,Application Software,292.7,58.190853,0.0187,5.03,262.75,416.69,80731348992.0,2155915008.0,13.829491,11.754076,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS,CDNS Cadence Design Systems Application Software http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS,0
CZR,Caesars Entertainment,Casinos & Gaming,29.68,23.8595715,0.0187,-2.27,17.86,30.88,6048112128.0,3459000064.0,0.5192404,1.7940038,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CZR,CZR Caesars Entertainment Casinos & Gaming http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CZR,1
CPT,Camden Property Trust,Multi-Family Residential REITs,105.69,34.881187,0.0401,3.03,96.53,119.81,10626003968.0,893971008.0,6.717377,2.8505542,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPT,CPT Camden Property Trust Multi-Family Residential REITs http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPT,1
CPB,Campbell Soup Company,Packaged Foods & Meats,21.38,16.32061,0.0468,1.31,19.56,34.17,6375649280.0,1623000064.0,0.6543154,1.5817119,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB,CPB Campbell Soup Company Packaged Foods & Meats http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB,1
COF,Capital One,Consumer Finance,219.6,12.092511,0.0146,18.16,174.24,259.64,134724608000.0,3452700032.0,2.8003454,1.3082409,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF,COF Capital One Consumer Finance http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF,1
CAH,Cardinal Health,Health Care Distributors,247.18,34.23546,0.0083,7.22,145.87,258.3,57488068608.0,4244000000.0,0.22611022,-19.97737,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH,CAH Cardinal Health Health Care Distributors http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH,1
KMX,CarMax,Automotive Retail,63.29,39.31056,0.0187,1.61,30.26,65.28,8981554176.0,1031401024.0,0.31852296,1.4679005,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX,KMX CarMax Automotive Retail http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX,1
