ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,text,clean_text,Cluster
111066,Hardeep Singh Grewal,M,23.0,168.0,65.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,,Hardeep Singh Grewal M India IND 1984 Summer Summer Los Angeles Hockey Hockey Men's Hockey ,hardeep singh grewal india ind summer summer los angeles hockey hockey mens hockey,2
111067,Hardyal Singh Garchey,M,27.0,,,India,IND,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Gold,Hardyal Singh Garchey M India IND 1956 Summer Summer Melbourne Hockey Hockey Men's Hockey Gold,hardyal singh garchey india ind summer summer melbourne hockey hockey mens hockey gold,2
111068,Harmanpreet Singh,M,20.0,177.0,70.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,,Harmanpreet Singh M India IND 2016 Summer Summer Rio de Janeiro Hockey Hockey Men's Hockey ,harmanpreet singh india ind summer summer rio de janeiro hockey hockey mens hockey,2
111069,Harmik Singh,M,21.0,174.0,70.0,India,IND,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Bronze,Harmik Singh M India IND 1968 Summer Summer Mexico City Hockey Hockey Men's Hockey Bronze,harmik singh india ind summer summer mexico city hockey hockey mens hockey bronze,2
111069,Harmik Singh,M,25.0,174.0,70.0,India,IND,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Bronze,Harmik Singh M India IND 1972 Summer Summer Munich Hockey Hockey Men's Hockey Bronze,harmik singh india ind summer summer munich hockey hockey mens hockey bronze,2
111070,Harpal Singh,M,20.0,170.0,68.0,India,IND,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,,Harpal Singh M India IND 2004 Summer Summer Athina Hockey Hockey Men's Hockey ,harpal singh india ind summer summer athina hockey hockey mens hockey,2
111071,Harpreet Singh Mander,M,19.0,,,India,IND,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,,Harpreet Singh Mander M India IND 1992 Summer Summer Barcelona Hockey Hockey Men's Hockey ,harpreet singh mander india ind summer summer barcelona hockey hockey mens hockey,2
111071,Harpreet Singh Mander,M,23.0,,,India,IND,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,,Harpreet Singh Mander M India IND 1996 Summer Summer Atlanta Hockey Hockey Men's Hockey ,harpreet singh mander india ind summer summer atlanta hockey hockey mens hockey,2
111072,Inderpal Singh,M,25.0,195.0,85.0,India,IND,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,,Inderpal Singh M India IND 2000 Summer Summer Sydney Rowing Rowing Men's Coxless Pairs ,inderpal singh india ind summer summer sydney rowing rowing mens coxless pairs,0
111073,Jagbir Singh,M,23.0,180.0,71.0,India,IND,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,,Jagbir Singh M India IND 1988 Summer Summer Seoul Hockey Hockey Men's Hockey ,jagbir singh india ind summer summer seoul hockey hockey mens hockey,2
111073,Jagbir Singh,M,27.0,180.0,71.0,India,IND,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,,Jagbir Singh M India IND 1992 Summer Summer Barcelona Hockey Hockey Men's Hockey ,jagbir singh india ind summer summer barcelona hockey hockey mens hockey,2
111074,Jagdev Singh,M,,,,India,IND,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres Hurdles,,Jagdev Singh M India IND 1956 Summer Summer Melbourne Athletics Athletics Men's 400 metres Hurdles ,jagdev singh india ind summer summer melbourne athletics athletics mens metres hurdles,1
